OR GATE:
inputs          outputs
------------  ---------
[0, 0, 0, 0]          0
[0, 0, 0, 1]          1
[0, 0, 1, 0]          1
[0, 0, 1, 1]          1
[0, 1, 0, 0]          1
[0, 1, 0, 1]          1
[0, 1, 1, 0]          1
[0, 1, 1, 1]          1
[1, 0, 0, 0]          1
[1, 0, 0, 1]          1
[1, 0, 1, 0]          1
[1, 0, 1, 1]          1
[1, 1, 0, 0]          1
[1, 1, 0, 1]          1
[1, 1, 1, 0]          1
[1, 1, 1, 1]          1
NOR GATE:
inputs          outputs
------------  ---------
[0, 0, 0, 0]          1
[0, 0, 0, 1]          0
[0, 0, 1, 0]          0
[0, 0, 1, 1]          0
[0, 1, 0, 0]          0
[0, 1, 0, 1]          0
[0, 1, 1, 0]          0
[0, 1, 1, 1]          0
[1, 0, 0, 0]          0
[1, 0, 0, 1]          0
[1, 0, 1, 0]          0
[1, 0, 1, 1]          0
[1, 1, 0, 0]          0
[1, 1, 0, 1]          0
[1, 1, 1, 0]          0
[1, 1, 1, 1]          0
AND GATE:
inputs          outputs
------------  ---------
[0, 0, 0, 0]          0
[0, 0, 0, 1]          0
[0, 0, 1, 0]          0
[0, 0, 1, 1]          0
[0, 1, 0, 0]          0
[0, 1, 0, 1]          0
[0, 1, 1, 0]          0
[0, 1, 1, 1]          0
[1, 0, 0, 0]          0
[1, 0, 0, 1]          0
[1, 0, 1, 0]          0
[1, 0, 1, 1]          0
[1, 1, 0, 0]          0
[1, 1, 0, 1]          0
[1, 1, 1, 0]          0
[1, 1, 1, 1]          1
NAND GATE:
inputs          outputs
------------  ---------
[0, 0, 0, 0]          1
[0, 0, 0, 1]          1
[0, 0, 1, 0]          1
[0, 0, 1, 1]          1
[0, 1, 0, 0]          1
[0, 1, 0, 1]          1
[0, 1, 1, 0]          1
[0, 1, 1, 1]          1
[1, 0, 0, 0]          1
[1, 0, 0, 1]          1
[1, 0, 1, 0]          1
[1, 0, 1, 1]          1
[1, 1, 0, 0]          1
[1, 1, 0, 1]          1
[1, 1, 1, 0]          1
[1, 1, 1, 1]          0
